soru,s1,s2,s3,s4,answer,Type,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,d1,d2,d3
"Açýlmýþ hali verilen geometrik bir cismin, kapandýðý zaman açýlacaðý þekli göz önünde canlandýrabilir misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,3.595,1.345,-0.237
"Karmaþýk bir geometrik þeklin, saða ve sola döndürülmesi ile alacaðý durumu gözönünde canlandýrabilir misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,1.308,0,0,0,0,0,0,0,0,0,0,0,0,0,2.781,0.596,-1.141
"Bir  evin  planýna baktýðýnýzda, evin yapýlmýþ halini gözönünde canlandýrabilir misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,1.034,0,0,0,0,0,0,0,0,0,0,0,0,0,2.603,0.837,-0.637
" Desenli kaðýtlarý, þekilleri birbirine tamamlayacak þekilde, yan yana yapýþtýrabilir misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,1.172,0,0,0,0,0,0,0,0,0,0,0,0,0,3.681,1.591,-0.095
"Bir kaðýda, cetvel kullanmadan düzgün paralel çizgiler çizebiliyor musunuz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,2.454,0.586,-1.117
" Bir  kaðýda çizilen yýldýz biçimindeki bir þekli makasla, düzgün bir biçimde kesip çýkarabilir misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,3.441,1.785,0.32
Alet kullanmadan düzgün geometrik þekiller çizebilir misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,1.206,0,0,0,0,0,0,0,0,0,0,0,0,2.507,0.397,-1.242
Attýðýnýz bir bilyeyi veya bir taþý istediðiniz hedefe  gönderebilir misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,1.028,0,0,0,0,0,0,0,0,0,0,0,0,3.516,0.861,-1.217
"Bir aletin (örneðin, saatin) çok küçük bir parçasýný (vidasýný) yerine kolayca yerleþtirebilir misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,1.157,0,0,0,0,0,0,0,0,0,0,0,0,3.396,1.459,-0.168
"Bir bilyeyi, baþka bir bilye ile vurarak, istediðiniz hedefe gönderebilir misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,1.099,0,0,0,0,0,0,0,0,0,0,0,0,2.728,0.246,-1.456
"Bir pastayý veya böreði, eþit olarak ve düzgün biçimde kesebilir misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,1.292,0,0,0,0,0,0,0,0,0,0,0,0,3.278,1.22,-0.454
"Küçük bir deliðe, ince bir çubuðu, deliðin kenarýna deðdirmeden sokabilir misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,1.238,0,0,0,0,0,0,0,0,0,0,0,0,2.385,0.386,-1.261
"Küçük bir þeklin (örneðin bir çiçek resminin) içini, dýþarý taþýrmadan sulu boya ile boyayabilir misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,1.244,0,0,0,0,0,0,0,0,0,0,0,0,2.682,0.924,-0.744
Dar bir alana düzgün yazý yazabilir misniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,1.061,0,0,0,0,0,0,0,0,0,0,0,0,2.286,0.488,-0.932
Okçuluk ya da atýcýlýk kursuna gitmek ister misiniz? ,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0.694,0,0,0,0,0,0,0,0,0,0,0,0,1.118,0.13,-0.639
Fen dersleri ile ilgili konularý kolay öðrenebiliyor musunuz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0.993,0,0,0,0,0,0,0,0,0,0,0,2.731,0.679,-1.09
"Gelecekte kendinizi, laboratuarda araþtýrmacý olarak düþlediðiniz olur mu?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,1.136,0,0,0,0,0,0,0,0,0,0,0,0.91,-0.501,-1.611
Fen derslerinde öðrendiðiniz ilke ve kurallarý evinizdeki sorunlarýn çözümünde kullanýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,1.162,0,0,0,0,0,0,0,0,0,0,0,2.294,0.089,-1.252
Fen dersleri ile ilgili konularda sýnýfta öðretilenlerden daha fazla bilgi edinmek için baþka kaynaklara baþvurduðunuz oluyor mu?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,1.273,0,0,0,0,0,0,0,0,0,0,0,1.928,-0.146,-1.615
Fen bilgisi ile ilgili problemleri çözmekten hoþlanýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,1.376,0,0,0,0,0,0,0,0,0,0,0,2.044,0.115,-1.304
Deniz dibindeki hayatý gösteren bir filmi ilgi ve dikkatle izler misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0.817,0,0,0,0,0,0,0,0,0,0,0,2.855,1.126,-0.01
Büyük coðrafya keþiflerini anlatan bir televizyon dizisini izlemekten hoþlanýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,1.195,0,0,0,0,0,0,0,0,0,0,0,1.677,-0.195,-1.372
Bilimsel proje sergilerini gezer misiniz? Ya da gezmek ister misiniz? ,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,1.368,0,0,0,0,0,0,0,0,0,0,0,2.698,0.705,-0.647
Televizyonda bilimsel buluþlarý anlatan belgesel programlarý izler misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,1.752,0,0,0,0,0,0,0,0,0,0,0,2.209,0.161,-1.205
Ünlü bilim adamlarýnýn hayatýný anlatan televizyon dizilerini izler misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,1.537,0,0,0,0,0,0,0,0,0,0,0,1.798,-0.237,-1.571
"Uzay araçlarýnýn, roketlerin evrimini gösteren bir sergiyi izlemek ister misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,1.371,0,0,0,0,0,0,0,0,0,0,0,2.271,0.647,-0.453
"Bir þehire gittiðinizde, müzeleri, tarihi yerleri gezer misiniz? Ya da gezmek ister misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0.749,0,0,0,0,0,0,0,0,0,0,2.613,1.181,0.223
 Çeþitli atasözlerinin ve özdeyiþlerin nereden çýktýðýný araþtýrmak ister misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,1.179,0,0,0,0,0,0,0,0,0,0,1.737,-0.342,-1.595
Ýnsanlarýn ne düþündüklerini ve ne hissettiklerini incelemekten hoþlanýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0.594,0,0,0,0,0,0,0,0,0,0,2.116,0.727,-0.375
Tarih ve coðrafya derslerinde okutulan konularý kolay öðrenebiliyor musunuz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,1.032,0,0,0,0,0,0,0,0,0,0,1.989,0.06,-1.51
Ýnsanlarýn gazetelerde hangi haberleri merakla okuduklarýný araþtýrmak ister misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,1.263,0,0,0,0,0,0,0,0,0,0,0.922,-0.546,-1.745
Tarih romanlarý okumaktan hoþlanýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,1.274,0,0,0,0,0,0,0,0,0,0,0.954,-0.764,-1.798
“Çocuklarda yaratýcýlýk” baþlýklý bir makaleyi okumak ister misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0.925,0,0,0,0,0,0,0,0,0,0,1.889,0.304,-0.867
Çevrenizdeki insanlarýn davranýþlarýnýn nedenlerini merak edip araþtýrýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0.834,0,0,0,0,0,0,0,0,0,0,1.818,0.191,-0.938
Ünlü toplum liderlerinin hayatýný anlatan eserleri okumak veya filmleri izlemek ister misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,1.391,0,0,0,0,0,0,0,0,0,0,1.911,0.076,-1.245
 “Ýnsan haklarý” konulu bir ödev hazýrlayýp sýnýfta sunmak ister misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,1.141,0,0,0,0,0,0,0,0,0,0,1.395,-0.244,-1.448
Orta Asya’daki eski uygarlýk eserlerini gösteren bir belgesel filmi izlemekten hoþlanýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,1.351,0,0,0,0,0,0,0,0,0,0,1.248,-0.345,-1.506
Ýnanç ve düþüncelerinizi baþkalarýna kolaylýkla aktarabilir misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,3.208,1.239,-0.486
"Tartýþmalarda güçlü kanýtlar bularak, görüþünüzü karþýnýzdakilere kabul ettirebilir misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,1.521,0,0,0,0,0,0,0,0,0,4.017,1.695,-0.204
 Arkadaþlarýnýz arasýndaki çatýþmalarýn çözümünde arabuluculuk yapar mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,1.023,0,0,0,0,0,0,0,0,0,2.367,0.672,-0.774
Çevrenizde “Hazýrcevap” bir kiþi olarak tanýnýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0.818,0,0,0,0,0,0,0,0,0,1.546,-0.036,-1.177
Söz ve davranýþlarýnýzýn baþkalarý üzerindeki etkilerini öðrenmeye çalýþýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,1.273,0,0,0,0,0,0,0,0,0,2.98,0.992,-0.615
Konuþurken çevrenizdeki insanlarýn ilgisini çekebilir ve görüþlerinizi onlara kabul ettirebilir misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,1.904,0,0,0,0,0,0,0,0,0,4.2,1.385,-1.172
Sizin gibi düþünmeyen insanlarý ikna etmek için uzun tartýþmalara girer misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0.936,0,0,0,0,0,0,0,0,0,1.999,0.324,-0.917
Güzel konuþma ve baþkalarýný ikna edebilme gücünü geliþtirici kurslara katýlmak ister misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,1.585,0.3,-0.774
Konuþtuðunuz zaman kendinizi çevrenizdeki insanlara dinletebiliyor musunuz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,1.633,0,0,0,0,0,0,0,0,0,3.87,1.624,-0.874
Görüþlerinize karþý çýkýldýðýnda bunu soðukkanlýlýkla karþýlar mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0.592,0,0,0,0,0,0,0,0,0,1.934,0.172,-1.083
Yabancý dil ders saatlerinin artýrýlmasýný istediðiniz olur mu ? ,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,1.855,0,0,0,0,0,0,0,0,0.98,-0.441,-1.582
Yabancý dildeki kelimeleri kolaylýkla ezberleyebiliyor musunuz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,1.657,0,0,0,0,0,0,0,0,3.014,0.534,-1.301
"Bir yabancý turistle, bildiðiniz yabancý dille konuþmaya çalýþýr mýsýnýz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,1.345,0,0,0,0,0,0,0,0,2.117,0.603,-0.671
Gelecekte yabancý dilinizi ilerletip o dilde yazýlmýþ dergi ve kitaplarý okumayý düþünür müsünüz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,2.005,0,0,0,0,0,0,0,0,2.751,1.132,-0.412
 Yeni öðrendiðiniz yabancý dildeki sözcükleri doðru biçimde söylemeye gayret eder misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,1.352,0,0,0,0,0,0,0,0,2.561,0.981,-0.357
Belleðiniz kuvvetli midir?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0.462,0,0,0,0,0,0,0,0,3.368,1.55,-0.344
 Yabancý dil kurslarýna gitmek ister misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,2.188,0,0,0,0,0,0,0,0,2.132,0.363,-1.083
 Yabancý dilde þarký söylemeye özenir misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,1.194,0,0,0,0,0,0,0,0,1.74,0.454,-0.589
 Yabancý dil dersinde baþarýlý mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,2.033,0,0,0,0,0,0,0,0,2.532,0.363,-1.44
Boþ vakitlerinizde yabancý dille yazýlmýþ gazete ya da kitap okumaya çalýþýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,1.421,0,0,0,0,0,0,0,0,0.604,-0.792,-2.023
Gelecekte kendinizi çeþitli dillerin yapý ve özellikleri üzerinde çalýþan bir araþtýrmacý olarak düþünebilir misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0.892,0,0,0,0,0,0,0,0,0.876,-0.504,-1.492
 Ýnsanlarýn daha çok hangi mallarý almak istediklerini öðrenmeye çalýþýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,1.176,0,0,0,0,0,0,0,1.202,-0.382,-1.819
 Okul kantini ya da kooperatifini yönetmek ister misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,1.253,0,0,0,0,0,0,0,0.236,-1.044,-2.035
"Arkadaþlarýnýza bilye, sakýz, çilolata vb. þeyler sattýnýz mý? Ya da satmak ister misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,1.114,0,0,0,0,0,0,0,0.008,-1.078,-1.961
 Yaz aylarýnda bir dükkanda ya da ticarethanede çalýþmak ister misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,1.092,0,0,0,0,0,0,0,0.735,-0.534,-1.505
 Televizyondaki reklamlarýn daha iyi nasýl yapýlabileceði üzerinde araþtýrma yapan bir grubun içinde yer almak ister misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,1.251,0,0,0,0,0,0,0,1.07,-0.417,-1.5
 Evleri dolaþýp bir malýn tanýtýmýný yapmaktan hoþlanýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,1.509,0,0,0,0,0,0,0,-0.103,-1.409,-2.556
"Çevrenizdeki eþyalarýn, ürünlerin, satýlsalar kaç lira edeceklerini düþünür müsünüz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,2.073,0.356,-1.069
Bir malý satmak için neler yapmak gerektiðini öðreten bir kursa katýlmak ister misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,1.964,0,0,0,0,0,0,0,0.085,-1.682,-3.026
"Gazete, boþ þiþe gibi kullanýlmýþ þeyleri satarak para kazanmayý düþünür müsünüz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,1.775,0,0,0,0,0,0,0,-0.881,-2.222,-3.433
 Bir þeyi satýn alacaðýnýz zaman çeþitli dükkanlarý dolaþýp fiyatlarý karþýlaþtýrarak gereðini duyar mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0,2.31,0.632,-0.549
Gelecekte kendinizi bir tüccar olarak düþlediðiniz olur mu?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,1.588,0,0,0,0,0,0,0,-0.726,-2.107,-3.223
"Bir kýr gezisinde daha önce görmesdiðiniz bitki ve hayvalarýn adlarýný, özelliklerini öðrenmeye çalýþýr mýsýnýz ? ",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,0.978,0,0,0,0,0,0,2.278,0.566,-0.732
Evinizde ipekböceði yetiþtirip bakýmýný üsteleneblir misiniz? ,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0.175,-0.963,-1.923
Yeni çiçek türleri yetiþtirmeyi denemek ister misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,1.321,0,0,0,0,0,0,1.609,0.057,-1.072
 “Hayvanat bahçesine getirilen hayvanlarýn yeni çevreye uyum sorunlarý” konulu bir belgesel filmi ilgi ile izler misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,1.423,0,0,0,0,0,0,1.914,0.103,-1.089
 Bir çiftliðin yöneticisi olmayý düþünür müsünüz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,1.448,0,0,0,0,0,0,0.65,-0.83,-1.973
 Kaliteli meyve yetiþtiren bir üretici olmayý düþünür müsünüz?   ,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,1.306,0,0,0,0,0,0,0.716,-0.58,-1.613
Evcil hayvanlarýn hangi koþullarda ve ortamda daha iyi geliþtiklerini incelemekten hoþlanýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,1.598,0,0,0,0,0,0,2.259,0.419,-0.985
"Evde bir hayvan (kuþ) besler, bakýmýný yapar mýsýnýz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,2.14,1.062,0.167
